user,role,pc,email,is_malicious
U100,IT,PC-100,u100@company.com,False
U101,Executive,PC-101,u101@company.com,False
U102,Engineering,PC-102,u102@company.com,False
U103,HR,PC-103,u103@company.com,False
U104,Sales,PC-104,u104@company.com,False
U105,Sales,PC-105,u105@company.com,True
U106,Sales,PC-106,u106@company.com,False
U107,Finance,PC-107,u107@company.com,False
U108,Engineering,PC-108,u108@company.com,False
U109,Engineering,PC-109,u109@company.com,False
U110,Sales,PC-110,u110@company.com,False
U111,Executive,PC-111,u111@company.com,False
U112,Engineering,PC-112,u112@company.com,False
U113,Sales,PC-113,u113@company.com,False
U114,Sales,PC-114,u114@company.com,False
U115,Sales,PC-115,u115@company.com,False
U116,IT,PC-116,u116@company.com,False
U117,HR,PC-117,u117@company.com,False
U118,IT,PC-118,u118@company.com,False
U119,Sales,PC-119,u119@company.com,False
U120,Engineering,PC-120,u120@company.com,True
U121,Sales,PC-121,u121@company.com,False
U122,Sales,PC-122,u122@company.com,False
U123,IT,PC-123,u123@company.com,False
U124,IT,PC-124,u124@company.com,False
U125,Engineering,PC-125,u125@company.com,False
U126,Sales,PC-126,u126@company.com,False
U127,HR,PC-127,u127@company.com,False
U128,HR,PC-128,u128@company.com,False
U129,Sales,PC-129,u129@company.com,False
U130,Engineering,PC-130,u130@company.com,True
U131,Sales,PC-131,u131@company.com,False
U132,Sales,PC-132,u132@company.com,False
U133,Finance,PC-133,u133@company.com,False
U134,Executive,PC-134,u134@company.com,False
U135,Engineering,PC-135,u135@company.com,True
U136,IT,PC-136,u136@company.com,False
U137,Sales,PC-137,u137@company.com,False
U138,Engineering,PC-138,u138@company.com,False
U139,IT,PC-139,u139@company.com,False
U140,Sales,PC-140,u140@company.com,False
U141,IT,PC-141,u141@company.com,False
U142,Sales,PC-142,u142@company.com,False
U143,Finance,PC-143,u143@company.com,False
U144,Sales,PC-144,u144@company.com,False
U145,Engineering,PC-145,u145@company.com,False
U146,IT,PC-146,u146@company.com,False
U147,HR,PC-147,u147@company.com,False
U148,HR,PC-148,u148@company.com,False
U149,Sales,PC-149,u149@company.com,False
